1.394185309,1.394714840,1.384556932,1.389481416,1.395991272,1.399241508,1.415812720,1.670475029,1.809764503,2.297827227
1.000000000,1.000000000,1.000570125,1.002034174,1.003253355,1.006096074,1.019764440,1.259299781,1.463860870,1.915632580
3.285696926,3.347432763,3.242342783,3.267393604,3.291580860,3.277678571,3.291622739,3.520988277,3.775437287,4.844855023
5.695175439,5.741178388,5.737129358,5.800363636,5.917303627,5.688621782,5.774797688,5.912012191,5.882352941,6.899795392
9.813753582,10.018709756,10.670033396,10.612826603,11.524667932,11.094444444,10.787598945,9.297186265,8.786737618,9.421206535
15.499880526,17.425095420,28.823053108,18.074963610,27.368533460,17.130063966,19.914179968,15.113731052,14.868113266,12.011632866
1.357040239,1.369795780,1.360915329,1.340290993,1.346859188,1.365399221,1.443813069,2.922752360,3.966078641,6.998504320
1.000000000,1.000000000,1.000000000,1.000895182,1.002276793,1.004790516,1.016443904,1.232733136,1.457126949,6.911570743
2.965629847,2.941075795,2.964242079,2.825874695,2.850169574,2.991408519,3.067431156,13.270494524,13.203332265,15.604847811
5.783140388,6.223535164,5.931601661,5.954541016,5.994021960,5.789180685,9.047930793,17.865434381,22.007154742,20.820462165
15.055836322,15.940124046,15.821416938,14.857073091,15.056508659,15.896806695,19.061336786,26.993637471,29.746046129,27.300618993
21.534665529,23.539106145,22.426565104,25.643792435,21.114085019,22.918765133,41.729642473,36.989526088,48.987235312,35.515597261
